#Name,Description
base-devel,"A GNU tool for automatically configuring source code"
brave,"Web browser that blocks ads and trackers by default (latest binary release)."
caffeine-ng,"Status bar application able to temporarily inhibit the screensaver and sleep mode."
cmake,"A cross-platform open-source make system"
docker,"Canonical build tool for Docker official images"
docker-compose,"Fast, isolated development environments using Docker"
emacs,"The extensible, customizable, self-documenting real-time display editor"
exa,"Cross-platform 3D audio library, software implementation (example programs)"
fd,"util-linux runtime libraries"
firefox,"Standalone web browser from mozilla.org"
flameshot,"Powerful yet simple to use screenshot software"
freerdp,"Free implementation of the Remote Desktop Protocol (RDP)"
fzf,"An interactive bspwm interface using fzf"
grc,"Yet another colouriser for beautifying your logfiles or output of commands"
gsimplecal,"Simple and lightweight GTK calendar"
lm_sensors,"Collection of user space tools for general SMBus access and hardware monitoring"
lxsession,"Lightweight X11 session manager"
meld,"Compare files, directories and working copies"
neovim,"Fork of Vim aiming to improve user experience, plugins, and GUIs"
nerd-fonts-source-code-pro,"Patched font SourceCodePro from nerd-fonts library"
nerd-fonts-ubuntu-mono,"Patched font UbuntuMono from the nerd-fonts library"
nitrogen,"Background browser and setter for X windows"
os-prober,"Utility to detect other OSes on a set of drives"
qalculate-gtk,"GTK frontend for libqalculate"
ripgrep,"A search tool that combines the usability of ag with the raw speed of grep"
starship-bin,"The cross-shell prompt for astronauts"
sublime-text-3,"Sophisticated text editor for code, html and prose"
taskfile-git,"A task runner / simpler Make alternative written in Go"
telegram-desktop,"Official Telegram Desktop client"
tldr,"Command line client for tldr, a collection of simplified and community-driven man pages"
trayer,"lightweight GTK2-based systray for UNIX desktop"
ttf-apple-emoji,"Apple Color Emoji is a color typeface used by iOS and macOS to display emoji"
ttf-ubuntu-font-family,"Ubuntu font family"
xkcdpass,"Generate secure passphares inspired by XKCD"
